source,city,category,type,code,title,price,biomaterial_price,turnaround_time,url,scraped_at
Helix,Екатеринбург,Все анализы,complex,02-011,Проба Реберга (клиренс эндогенного креатинина),405,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-011,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-003,"Микроскопическое исследование отделяемого мочеполовых органов женщин (микрофлора), 3 локализации",480,,До 00:00 следующего дня,https://helix.ru/catalog/item/02-003,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-001,Анализ кала на скрытую кровь,340,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-001,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-010,Анализ кала на яйца гельминтов,340,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-010,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-009,Копрограмма,500,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-009,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,complex,02-005,Клинический анализ крови (с лейкоцитарной формулой),475,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-005,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-012,Анализ кала на цисты простейших,460,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-012,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-006,Общий анализ мочи с микроскопией,305,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-006,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-002,Анализ мочи по Нечипоренко,290,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-002,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-007,Скорость оседания эритроцитов (СОЭ),225,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-007,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-004,Микроскопическое исследование секрета предстательной железы (микрофлора),535,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-004,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-008,Спермограмма,1930,,До 12 часов. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-008,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-037,Тельца Гейнца,300,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-037,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-025,Лейкоцитарная формула (с микроскопией мазка крови при выявлении патологических изменений),340,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-025,2026-08-02T07:17:09.253Z
